iter	Passed	Remaining
405	6711	9819
406	6727	9802
407	6744	9786
408	6760	9768
409	6776	9750
410	6791	9732
411	6807	9715
412	6822	9697
413	6837	9678
414	6853	9660
415	6869	9643
416	6885	9626
417	6901	9609
418	6917	9591
419	6933	9574
420	6948	9555
421	6964	9538
422	6980	9521
423	6997	9505
424	7014	9490
425	7031	9474
426	7049	9459
427	7066	9444
428	7083	9428
429	7102	9414
430	7121	9401
431	7148	9398
432	7168	9386
433	7188	9375
434	7206	9359
435	7223	9344
436	7240	9327
437	7256	9311
438	7273	9295
439	7290	9278
440	7307	9262
441	7324	9246
442	7340	9229
443	7356	9212
444	7373	9195
445	7390	9179
446	7407	9164
447	7424	9147
448	7441	9132
449	7458	9116
450	7474	9099
451	7491	9082
452	7507	9065
453	7524	9048
454	7541	9033
455	7557	9015
456	7573	8998
457	7588	8980
458	7604	8963
459	7620	8946
460	7636	8928
461	7652	8911
462	7668	8893
463	7683	8876
464	7699	8858
465	7715	8840
466	7730	8823
467	7746	8805
468	7761	8788
469	7777	8769
470	7792	8751
471	7807	8733
472	7823	8716
473	7838	8698
474	7853	8679
475	7868	8662
476	7884	8644
477	7899	8626
478	7915	8609
479	7930	8591
480	7945	8573
481	7960	8554
482	7975	8536
483	7990	8519
484	8006	8501
485	8022	8484
486	8038	8467
487	8054	8450
488	8069	8432
489	8084	8414
490	8100	8397
491	8116	8380
492	8131	8362
493	8146	8344
494	8162	8327
495	8178	8310
496	8194	8293
497	8209	8275
498	8225	8258
499	8241	8241
500	8256	8223
501	8271	8206
502	8287	8188
503	8302	8171
504	8317	8152
505	8332	8135
506	8347	8117
507	8362	8099
508	8378	8081
509	8392	8063
510	8408	8046
511	8422	8028
512	8439	8011
513	8453	7993
514	8468	7975
515	8484	7957
516	8499	7940
517	8514	7922
518	8530	7905
519	8545	7887
520	8560	7870
521	8575	7852
522	8590	7834
523	8605	7817
524	8621	7800
525	8636	7782
526	8651	7764
527	8667	7748
528	8683	7731
529	8698	7713
530	8714	7696
531	8729	7679
532	8744	7661
533	8759	7643
534	8774	7626
535	8789	7608
536	8805	7591
537	8820	7574
538	8835	7556
539	8850	7539
540	8866	7522
541	8881	7505
542	8897	7488
543	8914	7472
544	8932	7457
545	8949	7441
546	8965	7425
547	8981	7408
548	8998	7392
549	9014	7375
550	9029	7358
551	9045	7340
552	9059	7323
553	9075	7306
554	9091	7289
555	9106	7272
556	9122	7255
557	9137	7238
558	9153	7221
559	9168	7204
560	9184	7186
561	9199	7169
562	9216	7153
563	9233	7137
564	9250	7121
565	9266	7105
566	9284	7090
567	9302	7075
568	9319	7059
569	9335	7042
570	9351	7025
571	9366	7008
572	9382	6991
573	9397	6974
574	9412	6957
575	9427	6939
576	9443	6923
577	9458	6906
578	9474	6888
579	9489	6871
580	9505	6854
581	9520	6837
582	9535	6820
583	9551	6803
584	9566	6786
585	9583	6770
586	9598	6753
587	9613	6736
588	9628	6719
589	9644	6701
590	9659	6684
591	9675	6668
592	9690	6651
593	9706	6634
594	9721	6617
595	9736	6600
596	9752	6583
597	9767	6565
598	9782	6549
599	9798	6532
600	9813	6514
601	9827	6497
602	9843	6480
603	9858	6463
604	9873	6446
605	9888	6429
606	9904	6412
607	9919	6395
608	9935	6378
609	9950	6362
610	9966	6345
611	9983	6329
612	9999	6312
613	10014	6295
614	10030	6278
615	10045	6262
616	10061	6245
617	10076	6228
618	10093	6212
619	10108	6195
620	10123	6178
621	10139	6161
622	10155	6145
623	10170	6128
624	10185	6111
625	10201	6094
626	10216	6078
627	10232	6061
628	10248	6044
629	10264	6028
630	10280	6012
631	10295	5994
632	10311	5978
633	10326	5961
634	10342	5944
635	10357	5927
636	10372	5910
637	10387	5893
638	10402	5876
639	10417	5860
640	10433	5843
641	10449	5827
642	10464	5810
643	10480	5793
644	10495	5776
645	10511	5760
646	10526	5743
647	10542	5726
648	10557	5709
649	10573	5693
650	10588	5676
651	10604	5659
652	10620	5643
653	10635	5626
654	10649	5609
655	10664	5592
656	10680	5575
657	10695	5559
658	10711	5542
659	10728	5526
660	10744	5510
661	10761	5494
662	10777	5478
663	10793	5461
664	10808	5444
665	10823	5428
666	10840	5412
667	10855	5395
668	10871	5378
669	10887	5362
670	10903	5346
671	10920	5330
672	10935	5313
673	10951	5297
674	10967	5280
675	10983	5264
676	10998	5247
677	11015	5231
678	11031	5215
679	11047	5198
680	11062	5182
681	11078	5165
682	11093	5148
683	11109	5132
684	11124	5115
685	11140	5099
686	11156	5083
687	11173	5066
688	11189	5050
689	11204	5033
690	11219	5017
691	11235	5000
692	11250	4983
693	11265	4967
694	11281	4951
695	11297	4934
696	11313	4918
697	11329	4901
698	11344	4885
699	11359	4868
700	11376	4852
701	11391	4835
702	11407	4819
703	11424	4803
704	11442	4787
705	11458	4771
706	11473	4755
707	11489	4738
708	11504	4721
709	11519	4705
710	11535	4688
711	11551	4672
712	11567	4656
713	11582	4639
714	11598	4623
715	11614	4606
716	11630	4590
717	11645	4573
718	11660	4557
719	11676	4540
720	11691	4524
721	11706	4507
722	11722	4491
723	11737	4474
724	11753	4458
725	11769	4441
726	11784	4425
727	11800	4408
728	11816	4392
729	11832	4376
730	11847	4359
731	11862	4343
732	11878	4326
733	11894	4310
734	11910	4294
735	11925	4277
736	11941	4261
737	11957	4245
738	11973	4228
739	11989	4212
740	12005	4196
741	12020	4179
742	12035	4163
743	12051	4146
744	12067	4130
745	12082	4113
746	12098	4097
747	12113	4081
748	12129	4064
749	12145	4048
750	12161	4032
751	12176	4015
752	12192	3999
753	12207	3982
754	12222	3966
755	12238	3949
756	12253	3933
757	12268	3916
758	12284	3900
759	12299	3883
760	12314	3867
761	12329	3851
762	12344	3834
763	12359	3817
764	12374	3801
765	12390	3785
766	12405	3768
767	12421	3752
768	12437	3736
769	12454	3720
770	12471	3704
771	12488	3688
772	12504	3672
773	12521	3656
774	12537	3639
775	12553	3623
776	12568	3607
777	12584	3590
778	12601	3574
779	12616	3558
780	12631	3542
781	12647	3525
782	12662	3509
783	12677	3492
784	12692	3476
785	12707	3459
786	12722	3443
787	12738	3427
788	12754	3410
789	12769	3394
790	12784	3378
791	12799	3361
792	12816	3345
793	12832	3329
794	12847	3312
795	12862	3296
796	12878	3280
797	12893	3263
798	12908	3247
799	12924	3231
800	12939	3214
801	12954	3198
802	12969	3181
803	12985	3165
804	13000	3149
805	13016	3133
806	13032	3116
807	13047	3100
808	13062	3084
809	13078	3067
810	13093	3051
811	13109	3035
812	13124	3018
