iter	RMSE
133	3.753279159
134	3.750358886
135	3.748765616
136	3.74623257
137	3.74090371
138	3.737568678
139	3.732765057
140	3.729869519
141	3.725400199
142	3.721088636
143	3.718390119
144	3.71526815
145	3.711373694
146	3.708474328
147	3.706284771
148	3.704020226
149	3.699376408
150	3.696852549
151	3.694339779
152	3.690811844
153	3.690308455
154	3.688422165
155	3.6854027
156	3.683210184
157	3.680391088
158	3.675304685
159	3.672351077
160	3.670156685
161	3.666929878
162	3.663384058
163	3.65979115
164	3.656885832
165	3.655734843
166	3.652680456
167	3.651582066
168	3.649838131
169	3.646565075
170	3.644290141
171	3.640892128
172	3.637272376
173	3.63518647
174	3.632414956
175	3.631082253
176	3.627974998
177	3.625885388
178	3.623459419
179	3.621948836
180	3.619437332
181	3.617423943
182	3.615939922
183	3.613343184
184	3.610744672
185	3.608550262
186	3.607383569
187	3.604401608
188	3.602082743
189	3.5996725
190	3.597669655
191	3.594135881
192	3.591995739
193	3.589347853
194	3.587121745
195	3.585931754
196	3.58361296
197	3.582394686
198	3.580157654
199	3.577914136
200	3.57599032
201	3.573642214
202	3.570534194
203	3.566264418
204	3.563839493
205	3.561359694
206	3.558793298
207	3.557467006
208	3.553569491
209	3.551996634
210	3.550285702
211	3.547450312
212	3.545779229
213	3.542220224
214	3.540803834
215	3.538499571
216	3.535520421
217	3.5316715
218	3.528518149
219	3.526944603
220	3.525789512
221	3.52415982
222	3.522395412
223	3.519675613
224	3.517947805
225	3.514915746
226	3.514183998
227	3.51318146
228	3.507722641
229	3.506661727
230	3.503071378
231	3.501567035
232	3.501109328
233	3.498874415
234	3.496750228
235	3.495598221
236	3.494507657
237	3.491196828
238	3.490059122
239	3.489450865
240	3.488538032
241	3.487670565
242	3.487111059
243	3.484298777
244	3.483024755
245	3.480981292
246	3.478218615
247	3.477337296
248	3.472654505
249	3.469264613
250	3.467658146
251	3.464582841
252	3.462887345
253	3.45965228
254	3.456422842
255	3.454080384
256	3.452343469
257	3.45174309
258	3.451250893
259	3.450817839
260	3.450446223
261	3.44898385
262	3.447967855
263	3.447299596
264	3.443886258
265	3.443482308
266	3.442951031
267	3.438661322
268	3.437507333
269	3.436122604
270	3.435769329
271	3.432036234
272	3.429987227
273	3.429618641
274	3.428626665
275	3.426685677
276	3.425811829
277	3.423739953
278	3.421619814
279	3.419872239
280	3.419553528
281	3.417417464
282	3.416981137
283	3.416148913
284	3.414244126
285	3.413951161
286	3.413662125
287	3.412490661
288	3.409223011
289	3.407237336
290	3.405278589
291	3.402305899
292	3.400383663
293	3.398735312
294	3.398455564
295	3.395452509
296	3.391965903
297	3.391553757
298	3.388037372
299	3.387839695
300	3.387640883
301	3.385658043
302	3.383474727
303	3.378299798
304	3.376310298
305	3.373773362
306	3.373398803
307	3.370049405
308	3.369801969
309	3.36935179
310	3.364923917
311	3.362252624
312	3.360230376
313	3.355121675
314	3.35175582
315	3.350494601
316	3.350270343
317	3.348274237
318	3.343301866
319	3.34303222
320	3.341286234
321	3.341055885
322	3.34089774
323	3.340740195
324	3.340457063
325	3.336598911
326	3.336286878
327	3.331891917
328	3.328508648
329	3.323141402
330	3.319115137
331	3.317312596
332	3.315117895
333	3.312961585
334	3.309627327
335	3.306749818
336	3.303762037
337	3.303600315
338	3.301459638
339	3.297052708
340	3.295802143
341	3.292177897
342	3.288903903
343	3.286096208
344	3.2859205
345	3.283810323
346	3.281054803
347	3.279008827
348	3.278761287
349	3.278420735
350	3.278017824
351	3.276322649
352	3.272147476
353	3.270209502
354	3.268924023
355	3.268348141
356	3.26694442
357	3.264173663
358	3.262852083
359	3.261285133
360	3.258235471
361	3.255330562
362	3.252994888
363	3.252333832
364	3.252189957
365	3.247722682
366	3.24651943
367	3.246381975
368	3.246241159
369	3.244889522
370	3.242214483
371	3.241182458
372	3.240663895
373	3.237509549
374	3.237335829
375	3.237111445
376	3.2329338
377	3.230623979
378	3.227705305
379	3.225060591
380	3.221984088
381	3.21946288
382	3.217328672
383	3.214788827
384	3.211785153
385	3.210632601
386	3.207501458
387	3.205541051
388	3.203115622
389	3.202962326
390	3.201398357
391	3.199596453
392	3.19501364
393	3.194879526
394	3.192422551
395	3.189941242
396	3.189644119
397	3.187531573
398	3.186002028
399	3.184571961
400	3.180873411
401	3.179220613
402	3.178935463
403	3.175052354
404	3.17240896
405	3.172289301
406	3.170889641
407	3.17064244
408	3.168058247
409	3.167970326
410	3.165912405
411	3.163544454
412	3.161589225
413	3.159466253
414	3.15721593
415	3.153878315
416	3.151633107
417	3.147830126
418	3.147713443
419	3.146036193
420	3.14336007
421	3.143259404
422	3.141763791
423	3.141671763
424	3.139485893
425	3.138559511
426	3.1374762
427	3.135417772
428	3.13532449
429	3.132710167
430	3.130774081
431	3.128255249
432	3.12687768
433	3.124871253
434	3.123055065
435	3.121195002
436	3.119472828
437	3.118494751
438	3.117736911
439	3.117303785
440	3.11648936
441	3.113740735
442	3.113644853
443	3.112118582
444	3.112036316
445	3.110325233
446	3.107741819
447	3.10541287
448	3.102166914
449	3.100372037
450	3.098072397
451	3.09370838
452	3.09164343
453	3.091496978
454	3.088935903
455	3.086770602
456	3.084211652
457	3.084126203
458	3.080882082
459	3.078378351
460	3.07828529
461	3.076109192
462	3.074091694
463	3.074001688
464	3.072857226
465	3.07272419
466	3.067707349
467	3.065172014
468	3.064209915
469	3.062913235
470	3.062822147
471	3.06030222
472	3.060221972
473	3.057546004
474	3.055029592
475	3.054951795
476	3.053463516
477	3.051296022
478	3.048742667
479	3.048677078
480	3.047626042
481	3.044218607
482	3.041860974
483	3.037932229
484	3.035893406
485	3.033552933
486	3.031764299
487	3.030511914
488	3.029132425
489	3.026364945
490	3.024024286
491	3.021868284
492	3.020588165
493	3.018245935
494	3.015925952
495	3.013689194
496	3.012542659
497	3.010965733
498	3.009189679
499	3.007777644
500	3.005182675
501	3.003798382
502	3.000979121
503	2.997581866
504	2.995445714
505	2.992579962
506	2.991464584
507	2.990390664
508	2.988565618
509	2.986283956
510	2.983889145
511	2.98286818
512	2.98065244
513	2.980179196
514	2.978206184
515	2.977777586
516	2.976635107
517	2.976510465
518	2.975921559
519	2.975211031
520	2.97331296
521	2.971712879
522	2.971309087
523	2.969673551
524	2.966187672
525	2.965077365
526	2.961220305
527	2.960373117
528	2.960290221
529	2.959003115
530	2.958122794
531	2.956427341
532	2.956366886
533	2.956051812
534	2.954284922
535	2.952726596
536	2.952602279
537	2.949322929
538	2.94814564
539	2.946188472
540	2.944325024
541	2.942156465
542	2.940164464
543	2.939158759
544	2.937715959
545	2.935621919
546	2.933932587
547	2.932320473
548	2.930592177
549	2.927531076
550	2.926544568
551	2.925413461
552	2.9215673
553	2.920837011
554	2.917075382
555	2.917017209
556	2.915442918
557	2.915378563
558	2.914401656
559	2.913329473
560	2.913201963
561	2.912419141
562	2.909954189
563	2.908597077
564	2.905576433
565	2.903031455
566	2.900545541
567	2.900008961
568	2.898119084
569	2.897856386
570	2.895953467
571	2.893932927
572	2.891463512
573	2.891174389
574	2.887591936
575	2.887542681
576	2.885465859
577	2.884164969
578	2.88411019
579	2.883823418
580	2.882767857
581	2.882716636
582	2.881650403
583	2.88160114
584	2.879788919
585	2.87888785
586	2.878011493
587	2.874741413
588	2.872312152
589	2.871496984
590	2.869239391
591	2.867388872
592	2.867209797
593	2.865404473
594	2.864091122
595	2.862660253
596	2.861355141
597	2.858073626
598	2.856125343
599	2.854789464
600	2.853904644
601	2.850594177
602	2.849497198
603	2.847959921
604	2.846981593
605	2.846631133
606	2.843243173
607	2.842549811
608	2.841233695
609	2.839310983
610	2.836121793
611	2.835551639
612	2.832854694
613	2.830947126
614	2.830503904
615	2.829204526
616	2.828460422
617	2.82586081
618	2.824812707
619	2.823773235
620	2.821983474
621	2.818966923
622	2.815576054
623	2.813241625
624	2.809683087
625	2.809598495
626	2.809254075
627	2.808348459
628	2.807355885
629	2.806329639
630	2.803889371
631	2.803581602
632	2.801927956
633	2.801396187
634	2.798516901
635	2.797651245
636	2.795422936
637	2.793591312
638	2.790511589
639	2.789412653
640	2.789194029
641	2.788011648
642	2.785703216
643	2.784172672
644	2.782356848
645	2.778923136
646	2.777145166
647	2.776531515
648	2.775978794
649	2.773698273
650	2.772977383
651	2.770895405
652	2.768603128
653	2.766020788
654	2.764717503
655	2.761571892
656	2.760441222
657	2.760167395
658	2.759017547
659	2.757029103
660	2.755170496
661	2.753333631
662	2.751496084
663	2.75054579
664	2.749315653
665	2.748246486
666	2.747142168
667	2.74638574
668	2.745432998
669	2.745363895
670	2.744747618
671	2.744044136
672	2.74126791
673	2.74070337
674	2.739974398
675	2.736928813
676	2.736421134
677	2.733859654
678	2.73149834
679	2.728627541
680	2.727585498
681	2.727397957
682	2.724861933
683	2.724690119
684	2.722438174
685	2.722186204
686	2.722121388
687	2.71954512
688	2.717576294
689	2.716279358
690	2.715070304
691	2.714040831
692	2.712794271
693	2.711697282
694	2.710413827
695	2.709652459
696	2.708842111
697	2.706214008
698	2.705959937
699	2.704296989
700	2.702874332
701	2.700153298
702	2.69981927
703	2.697805245
704	2.695699268
705	2.695046556
706	2.694434041
707	2.692690559
708	2.690867006
709	2.688895846
710	2.687718629
711	2.687357797
712	2.685882191
713	2.685133515
714	2.682222215
715	2.681796749
716	2.679315762
717	2.677829614
718	2.677786491
719	2.677746277
720	2.676218638
721	2.674431358
722	2.673612673
723	2.67241674
724	2.671280947
725	2.671236961
726	2.669215105
727	2.667796504
728	2.667100173
729	2.66644544
730	2.666016542
731	2.663909019
732	2.662232071
733	2.662120544
734	2.661331966
735	2.659421535
736	2.659223873
737	2.659196573
738	2.658941044
739	2.656149576
740	2.655577794
741	2.654851093
742	2.652836628
743	2.652774697
744	2.652159136
745	2.65124347
746	2.64999931
747	2.648728541
748	2.646420916
749	2.644440277
750	2.642821996
751	2.641165319
752	2.639742892
753	2.639206082
754	2.638045401
755	2.637040295
756	2.635576539
757	2.635288001
758	2.634929584
759	2.633973141
760	2.632817043
761	2.632078946
762	2.631021459
763	2.629195383
764	2.626591509
765	2.624518322
766	2.624269576
767	2.622624711
768	2.620487384
769	2.619446965
770	2.618392938
771	2.617665319
772	2.617268338
773	2.615273172
774	2.613910739
775	2.612377588
776	2.610920233
777	2.609587672
778	2.606677489
779	2.606223518
780	2.605747215
781	2.604097629
782	2.604068617
783	2.60308066
784	2.601584155
785	2.600805651
786	2.598818278
787	2.597708592
788	2.596161677
789	2.595858717
790	2.593420655
791	2.591249796
792	2.589717458
793	2.588586824
794	2.587140145
795	2.586025594
796	2.58507426
797	2.584225975
798	2.581735217
799	2.580495105
800	2.58023665
801	2.578047021
802	2.576622936
803	2.574322821
804	2.573204768
805	2.571638133
806	2.569455182
807	2.569356153
808	2.569170756
809	2.567001243
810	2.565411459
811	2.565120078
812	2.563911868
813	2.562950849
814	2.562238484
815	2.561249272
816	2.558801475
817	2.557616368
818	2.556289376
819	2.555385375
820	2.554388522
821	2.553720434
822	2.55146479
823	2.549954019
824	2.549411726
825	2.547124877
826	2.545335223
827	2.544540347
828	2.542870765
829	2.541307756
830	2.539958077
831	2.539607292
832	2.537696673
833	2.536342766
834	2.535073044
835	2.532982186
836	2.531498553
837	2.528297512
838	2.526666027
839	2.525833776
840	2.524582253
841	2.522708501
842	2.52094764
843	2.51954981
844	2.518332939
845	2.515530078
846	2.514562658
847	2.512145068
848	2.510294422
849	2.508720115
850	2.506889379
851	2.504951859
852	2.502879387
853	2.501262538
854	2.499012985
855	2.498393706
856	2.496027699
857	2.495526181
858	2.493949638
859	2.491837294
860	2.490893146
861	2.490137416
862	2.489195669
863	2.487813174
864	2.486716912
865	2.485685236
866	2.483829701
867	2.483016592
868	2.482139365
869	2.481362695
870	2.480604149
871	2.478958048
872	2.476369235
873	2.475458915
874	2.475047943
875	2.473581039
876	2.471637501
877	2.47042348
878	2.469197681
879	2.469179959
880	2.468182164
881	2.467273595
882	2.466028498
883	2.465999627
884	2.464914263
885	2.464217909
886	2.46418821
887	2.463325274
888	2.461218939
889	2.461106897
890	2.459629613
891	2.457660721
892	2.455372339
893	2.45457319
894	2.453732649
895	2.451794466
896	2.450725093
897	2.448658694
898	2.447658873
899	2.447638774
900	2.447068948
901	2.44690201
902	2.445610554
903	2.444675535
904	2.44240107
905	2.440308565
906	2.439675696
907	2.439486798
908	2.43725027
909	2.435787944
910	2.433375439
911	2.432005613
912	2.430834574
913	2.429993949
914	2.429111219
915	2.427792541
916	2.42675405
917	2.425838728
918	2.425667683
919	2.424527101
920	2.422754013
921	2.421623902
922	2.420640242
923	2.418956894
924	2.418214298
925	2.417818415
926	2.416322602
927	2.414440885
928	2.413263701
929	2.411598705
930	2.411164836
931	2.410414924
932	2.410122436
933	2.409648421
934	2.408316979
935	2.407702321
936	2.406810493
937	2.405745901
938	2.404804182
939	2.40436163
940	2.402788458
941	2.401223532
942	2.400348112
943	2.39914648
944	2.398628351
945	2.398590664
946	2.397005297
947	2.396119731
948	2.395816643
949	2.394539741
950	2.393781251
951	2.392813856
952	2.390907733
953	2.390244339
954	2.389021933
955	2.388402785
956	2.387478379
957	2.387204931
958	2.386549931
959	2.386284581
960	2.385702209
961	2.385023688
962	2.384199885
963	2.383537254
964	2.382084262
965	2.380937868
966	2.380289739
967	2.379757706
968	2.37894165
969	2.377169316
970	2.375866396
971	2.37331189
972	2.372732137
973	2.372578412
974	2.37208844
975	2.370275705
976	2.369478166
977	2.368408084
978	2.366387303
979	2.366115279
980	2.3655501
981	2.363776931
982	2.362423844
983	2.362304946
984	2.359557342
985	2.358687896
986	2.357696783
987	2.356830622
988	2.356279143
989	2.354400315
990	2.353881936
991	2.352900133
992	2.351752814
993	2.350086764
994	2.348870064
995	2.348087014
996	2.347876128
997	2.346555283
998	2.344907567
999	2.343071205
